Uniprot_ID,HEK293,MCF10A,U2OS,HepG2 C3A
Q7L576,1,1,1,0
Q7RTV0,1,0,0,0
Q7Z2T5,1,1,0,0
Q7Z2W4,1,1,1,1
Q7Z417,1,1,1,1
Q7Z478,1,0,1,0
Q7Z6E9,1,1,1,0
Q7Z6Z7,1,1,1,0
Q7Z739,1,1,1,0
Q86TB9,1,1,1,0
Q86U38,1,0,0,0
Q86U42,1,1,1,1
Q86UE4,1,1,1,1
Q86UK7,1,1,1,0
Q86V81,1,1,1,1
Q86VM9,1,1,1,0
Q86XP3,1,1,1,0
Q86XZ4,0,1,1,0
Q8IUH3,1,0,1,0
Q8IWA0,1,1,1,1
Q8IWR0,1,1,1,1
Q8IWS0,1,0,0,0
Q8IWX8,1,1,1,1
Q8IWZ3,1,1,1,0
Q8IWZ8,1,0,0,0
Q8IX01,1,1,1,1
Q8IX12,1,1,1,0
Q8IXM3,1,0,0,0
Q8IXT5,1,1,1,0
Q8IY37,1,1,1,0
Q8IY67,1,1,1,1
Q8IY81,1,1,1,1
Q8IYB3,1,1,1,0
Q8IZ69,1,0,0,0
Q8IZH2,1,1,1,0
Q8IZL8,1,1,1,0
Q8N163,1,1,1,1
Q8N1G4,1,1,1,1
Q8N3C0,1,0,1,0
Q8N5F7,1,1,0,0
Q8N5L8,1,0,1,0
Q8N5P1,1,1,0,0
Q8N684,1,1,1,1
Q8N8A6,1,0,1,0
Q8N983,1,1,0,0
Q8N9T8,1,1,0,0
Q8NAF0,1,0,0,0
Q8NAV1,1,1,0,0
Q8NC51,1,1,1,1
Q8NCA5,1,1,1,0
Q8ND56,1,1,1,0
Q8NDT2,1,1,1,0
Q8NE71,1,1,1,1
Q8NEJ9,1,0,0,0
Q8NEY8,0,0,1,0
Q8NI27,1,1,0,0
Q8NI36,1,1,1,0
Q8TA86,1,0,0,0
Q8TB72,1,1,1,1
Q8TDD1,1,1,1,1
Q8TDN6,1,1,1,1
Q8TED0,1,1,1,1
Q8TEQ6,1,1,1,1
Q8WTT2,1,1,1,1
Q8WU90,1,0,1,0
Q8WUA2,1,1,1,0
Q8WUQ7,1,0,0,0
Q8WVV9,1,1,1,1
Q8WWM7,1,1,1,1
Q8WWY3,1,0,1,0
Q8WXA9,1,1,0,0
Q8WXF1,1,1,1,1
Q8WYQ5,1,0,0,0
Q92499,1,1,1,1
Q92541,1,1,1,0
Q92614,1,0,1,0
Q92615,1,1,0,1
Q92616,1,1,1,1
Q92667,1,1,1,0
Q92769,1,0,0,0
Q92804,1,1,1,1
Q92841,1,1,1,1
Q92879,1,1,1,1
Q92888,1,1,1,0
Q92900,1,1,1,1
Q92945,1,1,1,1
Q92973,1,1,1,1
Q969S3,1,0,0,1
Q96AE4,1,1,1,1
Q96AG4,1,1,1,1
Q96CT7,1,1,0,0
Q96D46,1,1,1,1
Q96DH6,1,1,0,0
Q96E39,1,1,1,1
Q96EP5,1,1,1,1
Q96EU6,1,0,0,1
Q96EV2,1,1,0,0
Q96EY7,1,1,0,1
Q96F86,1,0,1,0
Q96G46,1,1,0,0
Q96GM8,1,0,0,0
Q96GQ7,1,1,1,1
Q96I24,1,1,1,1
Q96KR1,1,1,1,1
Q96MU7,1,1,1,0
Q96P11,1,1,1,0
Q96PK6,1,1,1,1
Q96PU8,1,1,1,0
Q96Q15,1,0,1,0
Q96QC0,1,1,1,0
Q96QR8,1,1,1,0
Q96SB4,1,1,1,0
Q96SI9,1,0,1,0
Q96ST3,1,0,0,0
Q96T21,1,0,0,0
Q96T37,1,1,1,1
Q96T58,1,1,1,1
Q99459,1,1,1,0
Q99497,1,1,0,0
Q99543,1,0,1,0
Q99575,1,1,1,0
Q99590,1,1,0,0
Q99700,1,1,1,0
Q99714,0,1,0,0
Q99729,1,1,1,1
Q99733,1,1,1,0
Q99848,1,1,1,1
